06/11/17;16:14:10.139;INFO;Interface;Command: ExecRobotTask (finish,-1);
06/11/17;16:14:11.471;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;16:14:11.471;INFO;Controller;Status = Executing: finish;
06/11/17;16:14:11.471;INFO;Controller;State = Running;
06/11/17;16:14:12.271;INFO;Robot Runtime;executing:    finish;
06/11/17;16:17:51.426;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
06/11/17;16:17:51.426;INFO;Controller;State = Ready;
06/11/17;18:09:21.507;INFO;Server;Command: ExecRobotTask (Initialize,500000);
06/11/17;18:09:21.513;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:09:21.513;INFO;Controller;Status = Executing: Initialize;
06/11/17;18:09:21.514;INFO;Controller;State = Running;
06/11/17;18:09:22.324;INFO;Robot Runtime;executing:    Initialize;
06/11/17;18:09:23.616;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
06/11/17;18:09:23.617;INFO;Controller;State = Ready;
06/11/17;18:09:23.647;INFO;Server;Command: ExecRobotTask (Cooldown,500000);
06/11/17;18:09:23.647;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:09:23.647;INFO;Controller;Status = Executing: Cooldown;
06/11/17;18:09:23.647;INFO;Controller;State = Running;
06/11/17;18:09:24.462;INFO;Robot Runtime;executing:    Cooldown;
06/11/17;18:10:30.559;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
06/11/17;18:10:30.559;INFO;Controller;State = Ready;
06/11/17;18:10:30.761;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:10:30.761;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:10:30.761;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:10:30.761;INFO;Controller;State = Running;
06/11/17;18:10:31.634;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:10:45.970;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>1,2.174,-0.29 ,-3.222,0;
06/11/17;18:10:45.970;INFO;Controller;State = Ready;
06/11/17;18:10:46.177;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:10:46.177;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:10:46.178;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:10:46.178;INFO;Controller;State = Running;
06/11/17;18:10:46.991;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:10:56.542;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>2,1.374,-0.182,-1.21 ,0;
06/11/17;18:10:56.542;INFO;Controller;State = Ready;
06/11/17;18:10:56.773;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:10:56.773;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:10:56.773;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:10:56.773;INFO;Controller;State = Running;
06/11/17;18:10:57.584;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:11:07.118;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>3,2.385,-0.56 ,-2.378,0;
06/11/17;18:11:07.118;INFO;Controller;State = Ready;
06/11/17;18:11:07.316;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:11:07.317;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:11:07.317;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:11:07.317;INFO;Controller;State = Running;
06/11/17;18:11:08.134;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:11:17.674;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>4,2.335,-0.299,-2.078,0;
06/11/17;18:11:17.674;INFO;Controller;State = Ready;
06/11/17;18:11:17.872;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:11:17.873;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:11:17.873;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:11:17.873;INFO;Controller;State = Running;
06/11/17;18:11:18.687;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:11:28.222;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>5,1.84 ,-0.133,-2.12 ,0;
06/11/17;18:11:28.222;INFO;Controller;State = Ready;
06/11/17;18:11:28.455;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:11:28.455;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:11:28.455;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:11:28.455;INFO;Controller;State = Running;
06/11/17;18:11:29.266;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:11:38.794;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>6,0.679,-0.257,-3.175,0;
06/11/17;18:11:38.795;INFO;Controller;State = Ready;
06/11/17;18:11:39.003;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:11:39.003;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:11:39.003;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:11:39.003;INFO;Controller;State = Running;
06/11/17;18:11:39.814;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:11:49.351;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>7,1.02 ,-0.664,-2.968,0;
06/11/17;18:11:49.352;INFO;Controller;State = Ready;
06/11/17;18:11:49.552;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:11:49.552;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/11/17;18:11:49.552;INFO;Controller;Status = Executing: MT_loadCheck;
06/11/17;18:11:49.552;INFO;Controller;State = Running;
06/11/17;18:11:50.365;INFO;Robot Runtime;executing:    MT_loadCheck;
06/11/17;18:11:59.887;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>8,1.887,-0.454,-3.276,0;
06/11/17;18:11:59.887;INFO;Controller;State = Ready;
06/11/17;18:12:00.119;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
06/11/17;18:12:00.119;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
