14/08/17;16:11:09.919;INFO;Interface;Command: ExecRobotTask (finish,-1);
14/08/17;16:11:09.986;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:11:09.986;INFO;Controller;Status = Executing: finish;
14/08/17;16:11:09.986;INFO;Controller;State = Running;
14/08/17;16:11:10.064;INFO;Robot Runtime;executing:    finish;
14/08/17;16:12:39.372;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
14/08/17;16:12:39.372;INFO;Controller;State = Ready;
14/08/17;16:12:54.259;INFO;Server;Command: ExecRobotTask (Initialize,500000);
14/08/17;16:12:54.260;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:12:54.260;INFO;Controller;Status = Executing: Initialize;
14/08/17;16:12:54.260;INFO;Controller;State = Running;
14/08/17;16:12:54.326;INFO;Robot Runtime;executing:    Initialize;
14/08/17;16:12:55.245;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
14/08/17;16:12:55.245;INFO;Controller;State = Ready;
14/08/17;16:12:55.261;INFO;Server;Command: ExecRobotTask (Cooldown,500000);
14/08/17;16:12:55.261;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:12:55.261;INFO;Controller;Status = Executing: Cooldown;
14/08/17;16:12:55.261;INFO;Controller;State = Running;
14/08/17;16:13:05.281;INFO;Robot;Abort;
14/08/17;16:13:05.369;INFO;Controller;Activity ExecRobotTask ended with exception: Timeout waiting busy;
14/08/17;16:13:05.369;WARNING;Activity;Exception: Robot timeout waiting busy
Stack trace:
org.embl.ctrl.Device$TimeoutWaitBusyException: Timeout waiting busy
	at org.embl.dev.staubli.StaubliRobot.executeTask(StaubliRobot.java:1162)
	at org.embl.dev.staubli.StaubliRobot.executeTask(StaubliRobot.java:1124)
	at org.embl.sw.Control.execRobotTask(Control.java:489)
	at org.embl.sw.Control$2.run(Control.java:380)
	at org.embl.task.ActivityManager.runTask(ActivityManager.java:104)
	at org.embl.task.ActivityManager.access$000(ActivityManager.java:22)
	at org.embl.task.ActivityManager$ActivityThread.run(ActivityManager.java:145)
;
14/08/17;16:13:05.369;INFO;Controller;State = Ready;
14/08/17;16:13:05.376;INFO;Server;Command: ExecRobotTask (TraceSample,500000);
14/08/17;16:13:05.376;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:13:05.376;INFO;Controller;Status = Executing: TraceSample;
14/08/17;16:13:05.376;INFO;Controller;State = Running;
14/08/17;16:13:05.447;INFO;Robot Runtime;executing:    TraceSample;
14/08/17;16:13:07.065;INFO;Controller;Activity ExecRobotTask ended. Return value: Done False/False/False;
14/08/17;16:13:07.066;INFO;Controller;State = Ready;
14/08/17;16:13:07.076;INFO;Server;Command: ExecRobotTask (Finish,500000);
14/08/17;16:13:07.076;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:13:07.076;INFO;Controller;Status = Executing: Finish;
14/08/17;16:13:07.076;INFO;Controller;State = Running;
14/08/17;16:13:07.143;INFO;Robot Runtime;executing:    Finish;
14/08/17;16:13:10.597;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
14/08/17;16:13:10.597;INFO;Controller;State = Ready;
14/08/17;16:13:26.154;INFO;Server;Command: ExecRobotTask (Initialize,500000);
14/08/17;16:13:26.154;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:13:26.155;INFO;Controller;Status = Executing: Initialize;
14/08/17;16:13:26.155;INFO;Controller;State = Running;
14/08/17;16:13:26.222;INFO;Robot Runtime;executing:    Initialize;
14/08/17;16:13:27.393;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
14/08/17;16:13:27.393;INFO;Controller;State = Ready;
14/08/17;16:13:27.426;INFO;Server;Command: ExecRobotTask (Cooldown,500000);
14/08/17;16:13:27.426;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:13:27.426;INFO;Controller;Status = Executing: Cooldown;
14/08/17;16:13:27.426;INFO;Controller;State = Running;
14/08/17;16:13:27.517;INFO;Robot Runtime;executing:    Cooldown;
14/08/17;16:15:46.701;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
14/08/17;16:15:46.701;INFO;Controller;State = Ready;
14/08/17;16:15:46.901;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
14/08/17;16:15:46.901;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:15:46.901;INFO;Controller;Status = Executing: MT_loadCheck;
14/08/17;16:15:46.901;INFO;Controller;State = Running;
14/08/17;16:15:47.042;INFO;Robot Runtime;executing:    MT_loadCheck;
14/08/17;16:16:07.236;INFO;Controller;Activity ExecRobotTask ended. Return value: Done ===>1,0.956,-0.056,-1.292,0;
14/08/17;16:16:07.237;INFO;Controller;State = Ready;
14/08/17;16:16:07.436;INFO;Server;Command: ExecRobotTask (MT_loadCheck,500000);
14/08/17;16:16:07.436;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
14/08/17;16:16:07.436;INFO;Controller;Status = Executing: MT_loadCheck;
14/08/17;16:16:07.436;INFO;Controller;State = Running;
